author_id,topic_0_count,topic_1_count,topic_2_count,topic_3_count,topic_4_count,topic_5_count,topic_6_count,topic_7_count,topic_8_count,topic_9_count,topic_10_count,topic_11_count,topic_12_count,topic_13_count,topic_14_count,topic_15_count,topic_16_count,topic_17_count,topic_18_count,topic_19_count,topic_20_count,topic_21_count,topic_22_count,topic_23_count,topic_24_count,topic_25_count,topic_26_count,topic_27_count,topic_28_count,topic_29_count,topic_30_count,topic_31_count,topic_32_count,topic_33_count,topic_34_count,topic_35_count,topic_36_count,topic_37_count,topic_38_count,topic_39_count,topic_40_count,topic_41_count,topic_42_count,topic_43_count,topic_44_count,topic_45_count,topic_46_count,topic_47_count,topic_48_count,topic_49_count,topic_50_count,topic_51_count,topic_52_count,topic_53_count,topic_54_count,topic_55_count,topic_56_count,topic_57_count,topic_58_count,topic_59_count,topic_60_count,topic_61_count,topic_62_count,topic_63_count,topic_64_count,topic_65_count,topic_66_count,topic_67_count,topic_68_count,topic_69_count,topic_70_count,topic_71_count,topic_72_count,topic_73_count,topic_74_count,topic_75_count,topic_76_count,topic_77_count,topic_78_count,topic_79_count,topic_80_count,topic_81_count,topic_82_count,topic_83_count,topic_84_count,topic_85_count,topic_86_count,topic_87_count,topic_88_count,topic_89_count,topic_90_count,topic_91_count,topic_92_count,topic_93_count,topic_94_count,topic_95_count,topic_96_count,topic_97_count,topic_98_count,topic_99_count,topic_100_count,topic_101_count
JsEkeOsAAAAJ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,3,1,1,3,0,2
Jzuk6doAAAAJ,1,0,0,0,0,0,0,1,1,0,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,10,0,0,2,6,2,0,0,1,0,3,4,0,2,1,0,1,10,0,0,1,0,0,0,2,0,0,1,1,0,7,1,4,0,0,0,0,6,0,0,3,0,0,1,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,1,3,0,0,1,0,0,0,5,0,0,1,4,3,8
L6O1lvkAAAAJ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,1,0,0,3,0,1,2,1,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0
LeRoniwAAAAJ,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,1,2,0,0,0,1,0,1,0,1,0,0,1,2,3
LsydBAMAAAAJ,1,0,0,0,0,0,2,0,1,0,3,0,0,0,0,1,16,9,0,7,0,0,6,0,0,1,0,1,0,5,14,5,0,0,10,10,0,1,18,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,2,2,0,2,1,3,0,0,4,1,1,0,1,3,0,1,2,0,0,8,8,1,3,1,1,4,4,2,7,9,2,2,0,0,4,2,0,0,0,5,5,2,0,0,0
MZCJPuIAAAAJ,4,0,1,0,0,1,0,0,0,0,8,1,0,1,0,0,0,1,0,0,1,3,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,2,2,5,0,1,2,2,4,0,3,1,2,0,3,10,20,3,3,5,3,12,3,1,9,0,4,32,0,6,0,0,2,1,1,4,0,4,3,1,0,0,0
MeGE8WAAAAAJ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MnI3Tm0AAAAJ,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Mr22rjsAAAAJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
N40Vh64AAAAJ,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,3,0,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
N6RJilIAAAAJ,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,0,1,1,0,3,0,0,0,7,0,0,2,1,0,0,1,5,1,2,0,0,29,2,1,1,0,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,2,4,0,0,0,1,1,0,1,2,1,0,0,2,3,1
NO8mJucAAAAJ,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OffRzhoAAAAJ,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,3,6,20,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,4,1,5,0
OwdLKtQAAAAJ,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
