author_id,total_publications,n_journal_article,n_conference_paper,n_book_chapter,n_review,n_other_document_type,first_active_year,last_active_year,degree,clustering_coefficient,core_number,author_name
S6IJ51cAAAAJ,113,98,15,0,0,0,2007,2026,29,0.5024630541871922,13,Unit Three Kartini
Smb2eg8AAAAJ,55,37,18,0,0,0,2011,2025,25,0.36,13,Nanang Hoesen H A
TAAC1-AAAAAJ,29,26,3,0,0,0,2017,2026,15,0.3047619047619048,11,I Gde Agung Sri Sidhimantra
TB0QfMoAAAAJ,48,40,8,0,0,0,2013,2026,25,0.48333333333333334,13,Miftahur Rohman
Thp8jg0AAAAJ,145,136,9,0,0,0,2000,2026,31,0.2752688172043011,13,Dodik Arwin Dermawan
Tp_X_bYAAAAJ,124,111,13,0,0,0,2009,2026,31,0.44086021505376344,13,Farid Baskoro
Tz8EfXcAAAAJ,83,74,9,0,0,0,1990,2026,9,0.4722222222222222,9,Yuliani Puji Astuti
UL2-upoAAAAJ,15,13,1,0,1,0,2000,2026,9,0.2777777777777778,9,Dana Azizah Rahmat
VNrCn4gAAAAJ,3,3,0,0,0,0,2018,2025,0,0.0,0,Ersha Aisyah Elfaiz
VwvPnrcAAAAJ,61,57,4,0,0,0,2014,2026,14,0.4065934065934066,11,Nisa Dwi Septiyanti
W7ncZRgAAAAJ,68,56,12,0,0,0,2000,2026,16,0.7166666666666667,13,Hafid Kholidi Hadi
WdhKN0sAAAAJ,180,173,5,1,1,0,2000,2026,37,0.32432432432432434,13,Aditya Prapanca
XdEn69YAAAAJ,51,47,4,0,0,0,2013,2026,23,0.30039525691699603,13,Cendra Devayana Putra
Y4YoRwUAAAAJ,6,4,2,0,0,0,2022,2025,4,0.5,4,Belgis Ainatul Iza
YADiqesAAAAJ,80,62,18,0,0,0,2000,2026,19,0.5087719298245614,13,Ekohariadi
Yw9l51IAAAAJ,4,0,4,0,0,0,2021,2025,6,0.8666666666666667,6,Ersha Aisyah Elfaiz
ZBAnb64AAAAJ,65,62,3,0,0,0,2008,2027,19,0.2631578947368421,12,Ardhini Warih Utami
ZRCJXO0AAAAJ,12,12,0,0,0,0,2017,2025,0,0.0,0,Riska Dhenabayu
ZhJ08JkAAAAJ,217,214,3,0,0,0,2000,2026,17,0.4411764705882353,13,Bachtiar Syaiful Bachri
ZjPpHWsAAAAJ,32,32,0,0,0,0,2018,2026,16,0.325,12,Erik Rahman
_VFGVQQAAAAJ,30,24,6,0,0,0,2015,2025,9,0.3333333333333333,8,Berlian Maulidya Izzati
_ecYpyYAAAAJ,6,5,1,0,0,0,2021,2025,3,0.6666666666666666,3,Dinda Galuh Guminta
_n2j0ZAAAAAJ,95,95,0,0,0,0,2000,2026,14,0.2967032967032967,11,I Gusti Lanang Putra Eka Prismana
aW1lSOYAAAAJ,42,40,2,0,0,0,2016,2025,16,0.425,13,Aditya Chandra Hermawan
b4_EdJYAAAAJ,36,36,0,0,0,0,2009,2025,9,0.19444444444444445,6,Moh Khoridatul Huda
b81qaDkAAAAJ,61,48,13,0,0,0,2009,2026,38,0.26458036984352773,13,Anita Safitri
bTjH6IgAAAAJ,115,99,16,0,0,0,2000,2026,33,0.2803030303030303,13,Achmad Kautsar
cPj-iOIAAAAJ,126,102,19,3,1,1,2000,2026,31,0.35268817204301073,13,Ricky Eka Putra
cY1QGVEAAAAJ,28,28,0,0,0,0,2015,2026,19,0.3391812865497076,13,Muhammad Sonhaji Akbar
dfwr-2YAAAAJ,49,40,8,1,0,0,2000,2026,17,0.47794117647058826,13,Muhammad Fajar Wahyudi Rahman
