journal_weight,conference_weight,validation_auc
1.0,1.0,0.570050585201349
1.5,1.0,0.5774895853997223
2.0,1.0,0.5696538385241023
3.0,1.0,0.570323348541956
5.0,1.0,0.5774895853997223
