head,relation,tail
paper::39,published in,journal::IT-Edu: Jurnal Information Technology and Educatio
author::WdhKN0sAAAAJ,writes,paper::40
paper::40,has topic,topic::41
paper::40,published in,journal::IT-Edu: Jurnal Information Technology and Educatio
author::fkxhjZ4AAAAJ,writes,paper::41
author::q24bD6AAAAAJ,writes,paper::41
author::Em3aIV0AAAAJ,writes,paper::41
author::WdhKN0sAAAAJ,writes,paper::41
paper::41,has topic,topic::38
paper::41,published in,journal::Applied Technology and Computing Science Journal
author::WdhKN0sAAAAJ,writes,paper::42
paper::42,has topic,topic::24
paper::42,published in,journal::JIEET (Journal of Information Engineering and Educational Technology)
author::cPj-iOIAAAAJ,writes,paper::43
author::WdhKN0sAAAAJ,writes,paper::43
author::RvG7jG4AAAAJ,writes,paper::43
paper::43,has topic,topic::56
paper::43,published in,journal::JIEET (Journal of Information Engineering and Educational Technology)
author::WdhKN0sAAAAJ,writes,paper::44
paper::44,has topic,topic::29
paper::44,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::45
paper::45,has topic,topic::9
paper::45,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::46
paper::46,has topic,topic::38
paper::46,published in,journal::Jurnal Education and Development
author::cPj-iOIAAAAJ,writes,paper::47
author::RvG7jG4AAAAJ,writes,paper::47
author::eEtHoOAAAAAJ,writes,paper::47
author::WdhKN0sAAAAJ,writes,paper::47
paper::47,has topic,topic::5
paper::47,published in,journal::Jurnal Abadimas Adi Buana
author::WdhKN0sAAAAJ,writes,paper::48
paper::48,has topic,topic::24
paper::48,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::8wFXNjYAAAAJ,writes,paper::49
author::WdhKN0sAAAAJ,writes,paper::49
paper::49,has topic,topic::24
paper::49,published in,journal::JIEET (Journal of Information Engineering and Educational Technology)
author::WdhKN0sAAAAJ,writes,paper::50
paper::50,has topic,topic::26
paper::50,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::51
paper::51,has topic,topic::16
paper::51,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::52
paper::52,has topic,topic::29
paper::52,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::53
author::b81qaDkAAAAJ,writes,paper::53
paper::53,has topic,topic::34
paper::53,published in,journal::IT-Edu: Jurnal Information Technology and Educatio
author::WdhKN0sAAAAJ,writes,paper::54
paper::54,has topic,topic::42
paper::54,published in,journal::IT-Edu: Jurnal Information Technology and Educatio
author::WdhKN0sAAAAJ,writes,paper::55
paper::55,has topic,topic::31
paper::55,published in,journal::Jurnal Manajemen Informatika
author::WdhKN0sAAAAJ,writes,paper::56
paper::56,has topic,topic::45
paper::56,published in,journal::IT-Edu: Jurnal Information Technology and Educatio
author::WdhKN0sAAAAJ,writes,paper::57
paper::57,has topic,topic::29
paper::57,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::58
paper::58,has topic,topic::45
paper::58,published in,journal::IT-Edu: Jurnal Information Technology and Educatio
author::WdhKN0sAAAAJ,writes,paper::59
author::RvG7jG4AAAAJ,writes,paper::59
paper::59,has topic,topic::16
paper::59,published in,journal::Prosiding Seminar Nasional Informatika Bela Negara (SANTIKA)
author::_n2j0ZAAAAAJ,writes,paper::60
author::WdhKN0sAAAAJ,writes,paper::60
author::Thp8jg0AAAAJ,writes,paper::60
paper::60,has topic,topic::24
paper::60,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::61
paper::61,has topic,topic::26
paper::61,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::62
paper::62,has topic,topic::27
paper::62,published in,"journal::Journal Information Engineering and Educational Technology), 869X"
author::WdhKN0sAAAAJ,writes,paper::63
paper::63,has topic,topic::23
paper::63,published in,journal::IOP Conference Series: Materials Science and Engineering
author::WdhKN0sAAAAJ,writes,paper::64
paper::64,has topic,topic::15
paper::64,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::WdhKN0sAAAAJ,writes,paper::65
paper::65,has topic,topic::44
paper::65,published in,journal::Prosiding Semnas PPM 2018
author::WdhKN0sAAAAJ,writes,paper::66
paper::66,has topic,topic::24
paper::66,published in,journal::Jurnal Manajemen Informatika
author::WdhKN0sAAAAJ,writes,paper::67
author::RvG7jG4AAAAJ,writes,paper::67
paper::67,has topic,topic::6
paper::67,published in,"journal::Journal Information Engineering and Educational Technology), 869X"
author::WdhKN0sAAAAJ,writes,paper::68
paper::68,has topic,topic::57
paper::68,published in,journal::Jurnal Manajemen Informatika
author::WdhKN0sAAAAJ,writes,paper::69
paper::69,has topic,topic::23
paper::69,published in,journal::Jurnal Manajemen Informatika
author::WdhKN0sAAAAJ,writes,paper::70
paper::70,has topic,topic::57
paper::70,published in,journal::TEKNO
author::WdhKN0sAAAAJ,writes,paper::71
paper::71,has topic,topic::15
paper::71,published in,journal::Informatika UNESA
author::WdhKN0sAAAAJ,writes,paper::72
paper::72,has topic,topic::57
paper::72,published in,journal::Internal
author::WdhKN0sAAAAJ,writes,paper::73
paper::73,has topic,topic::57
paper::73,published in,journal::Jurnal Informatika
author::cPj-iOIAAAAJ,writes,paper::74
author::N6RJilIAAAAJ,writes,paper::74
paper::74,has topic,topic::25
paper::74,published in,journal::JOIV: International Journal on Informatics Visualizatio
author::N6RJilIAAAAJ,writes,paper::75
paper::75,has topic,topic::0
paper::75,published in,journal::Modem: Jurnal Informatika dan Sains Teknologi
author::bTjH6IgAAAAJ,writes,paper::76
author::cPj-iOIAAAAJ,writes,paper::76
author::RvG7jG4AAAAJ,writes,paper::76
author::Em3aIV0AAAAJ,writes,paper::76
author::N6RJilIAAAAJ,writes,paper::76
author::hn5jrnAAAAAJ,writes,paper::76
paper::76,has topic,topic::28
paper::76,published in,journal::Eight International Conference on Vocational Education and Electrical
author::N6RJilIAAAAJ,writes,paper::77
paper::77,has topic,topic::28
paper::77,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::78
paper::78,has topic,topic::28
paper::78,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::79
paper::79,has topic,topic::35
paper::79,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::80
paper::80,has topic,topic::45
paper::80,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::81
paper::81,has topic,topic::31
paper::81,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::82
paper::82,has topic,topic::54
paper::82,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::83
paper::83,has topic,topic::13
paper::83,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::84
paper::84,has topic,topic::28
paper::84,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::85
author::8wFXNjYAAAAJ,writes,paper::85
author::hn5jrnAAAAAJ,writes,paper::85
paper::85,has topic,topic::29
paper::85,published in,journal::Proceedings of the  International Conference on Soft Computing and
author::N6RJilIAAAAJ,writes,paper::86
paper::86,has topic,topic::56
paper::86,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::87
paper::87,has topic,topic::28
paper::87,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::88
paper::88,has topic,topic::57
paper::88,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::89
paper::89,has topic,topic::24
paper::89,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::90
paper::90,has topic,topic::53
paper::90,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::91
paper::91,has topic,topic::28
paper::91,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::92
author::hn5jrnAAAAAJ,writes,paper::92
author::nyyfjCgAAAAJ,writes,paper::92
author::cPj-iOIAAAAJ,writes,paper::92
paper::92,has topic,topic::25
paper::92,published in,journal::Journal of Hunan University Natural Sciences
author::N6RJilIAAAAJ,writes,paper::93
author::hn5jrnAAAAAJ,writes,paper::93
author::cPj-iOIAAAAJ,writes,paper::93
author::RvG7jG4AAAAJ,writes,paper::93
paper::93,has topic,topic::24
paper::93,published in,journal::Jurnal Serambi Engineering
author::N6RJilIAAAAJ,writes,paper::94
paper::94,has topic,topic::28
paper::94,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::95
paper::95,has topic,topic::13
paper::95,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::96
paper::96,has topic,topic::58
paper::96,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::97
paper::97,has topic,topic::31
paper::97,published in,journal::Journal of Informatics and Computer Science (JINACS)
