head,relation,tail
author::Jzuk6doAAAAJ,writes,paper::905
author::XdEn69YAAAAJ,writes,paper::905
paper::905,has topic,topic::28
paper::905,published in,journal::Inovate: Jurnal Ilmiah Inovasi Teknologi Informasi
author::Jzuk6doAAAAJ,writes,paper::906
paper::906,has topic,topic::31
paper::906,published in,journal::International Joint Conference on Science and Engineering
author::Jzuk6doAAAAJ,writes,paper::907
paper::907,has topic,topic::34
paper::907,published in,journal::International Joint Conference on Arts and Humanities (IJCAH)
author::Jzuk6doAAAAJ,writes,paper::908
author::_n2j0ZAAAAAJ,writes,paper::908
paper::908,has topic,topic::40
paper::908,published in,journal::Inovate: Jurnal Ilmiah Inovasi Teknologi Informasi
author::Jzuk6doAAAAJ,writes,paper::909
paper::909,has topic,topic::56
paper::909,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::Jzuk6doAAAAJ,writes,paper::910
paper::910,has topic,topic::54
paper::910,published in,journal::Inovate: Jurnal Ilmiah Inovasi Teknologi Informasi
author::Jzuk6doAAAAJ,writes,paper::911
author::6MXDzBQAAAAJ,writes,paper::911
paper::911,has topic,topic::24
paper::911,published in,journal::Inovate: Jurnal Ilmiah Inovasi Teknologi Informasi
author::Jzuk6doAAAAJ,writes,paper::912
paper::912,has topic,topic::35
paper::912,published in,journal::Jurnal Manajemen Informatika
author::ZBAnb64AAAAJ,writes,paper::913
paper::913,has topic,topic::56
paper::913,published in,journal::Journal of Education Technology and Information System
author::ZBAnb64AAAAJ,writes,paper::914
paper::914,has topic,topic::31
paper::914,published in,journal::Journal of Education Technology and Information System
author::ZBAnb64AAAAJ,writes,paper::915
paper::915,has topic,topic::56
paper::915,published in,journal::Journal of Emerging Information Systems and Business Intelligence (JEISBI) 7
author::ZBAnb64AAAAJ,writes,paper::916
paper::916,has topic,topic::25
paper::916,published in,journal::Journal of Education Technology and Information System
author::ZBAnb64AAAAJ,writes,paper::917
paper::917,has topic,topic::12
paper::917,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::918
author::XdEn69YAAAAJ,writes,paper::918
author::34CwHgkAAAAJ,writes,paper::918
author::FZ00CQ8AAAAJ,writes,paper::918
author::cY1QGVEAAAAJ,writes,paper::918
paper::918,has topic,topic::28
paper::918,published in,journal::SISFOTENIKA
author::ZBAnb64AAAAJ,writes,paper::919
paper::919,has topic,topic::28
paper::919,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::920
paper::920,has topic,topic::57
paper::920,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::921
paper::921,has topic,topic::20
paper::921,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::922
paper::922,has topic,topic::24
paper::922,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::923
paper::923,has topic,topic::57
paper::923,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::924
author::cPj-iOIAAAAJ,writes,paper::924
paper::924,has topic,topic::29
paper::924,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::925
paper::925,has topic,topic::28
paper::925,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::926
paper::926,has topic,topic::56
paper::926,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::927
paper::927,has topic,topic::12
paper::927,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::928
paper::928,has topic,topic::54
paper::928,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::929
paper::929,has topic,topic::29
paper::929,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::930
paper::930,has topic,topic::56
paper::930,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::931
paper::931,has topic,topic::28
paper::931,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::932
paper::932,has topic,topic::28
paper::932,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::933
paper::933,has topic,topic::11
paper::933,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::934
paper::934,has topic,topic::12
paper::934,published in,journal::Jeisbi
author::ZBAnb64AAAAJ,writes,paper::935
paper::935,has topic,topic::12
paper::935,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::936
paper::936,has topic,topic::18
paper::936,published in,journal::Journal of Emerging Information Systems and Business Intelligence (JEISBI) 3
author::ZBAnb64AAAAJ,writes,paper::937
paper::937,has topic,topic::12
paper::937,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::938
paper::938,has topic,topic::30
paper::938,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::939
paper::939,has topic,topic::12
paper::939,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::940
paper::940,has topic,topic::56
paper::940,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::941
paper::941,has topic,topic::24
paper::941,published in,journal::JEISBI
author::ZBAnb64AAAAJ,writes,paper::942
paper::942,has topic,topic::28
paper::942,published in,journal::Journal of Emerging Information Systems and Business Intelligence (JEISBI) 2
author::ZBAnb64AAAAJ,writes,paper::943
paper::943,has topic,topic::24
paper::943,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::944
paper::944,has topic,topic::5
paper::944,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::945
paper::945,has topic,topic::12
paper::945,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::946
paper::946,has topic,topic::10
paper::946,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::ZBAnb64AAAAJ,writes,paper::947
paper::947,has topic,topic::56
paper::947,published in,journal::Indonesian Journal of Engineering and Technology (INAJET)
author::ZBAnb64AAAAJ,writes,paper::948
author::IJIEntMAAAAJ,writes,paper::948
author::JsEkeOsAAAAJ,writes,paper::948
paper::948,has topic,topic::53
paper::948,published in,journal::Journal of Vocational and Technical Education (JVTE)
author::ZBAnb64AAAAJ,writes,paper::949
paper::949,has topic,topic::58
paper::949,published in,journal::PERNIK: JURNAL PENDIDIKAN ANAK USIA DINI Учредители: Universitas PGRI
author::ZBAnb64AAAAJ,writes,paper::950
author::LeRoniwAAAAJ,writes,paper::950
paper::950,has topic,topic::56
paper::950,published in,journal::Jurnal Manajemen Informatika
author::ZBAnb64AAAAJ,writes,paper::951
paper::951,has topic,topic::23
paper::951,published in,journal::IOP Conference Series: Materials Science and Engineering
author::ZBAnb64AAAAJ,writes,paper::952
paper::952,has topic,topic::58
paper::952,published in,journal::Jurnal Manajemen Informatika
author::ZBAnb64AAAAJ,writes,paper::953
author::MZCJPuIAAAAJ,writes,paper::953
paper::953,has topic,topic::12
paper::953,published in,journal::Jurnal Manajemen Informatika
author::ZBAnb64AAAAJ,writes,paper::954
paper::954,has topic,topic::18
paper::954,published in,journal::Jurnal Manajemen Informatika
author::ZBAnb64AAAAJ,writes,paper::955
paper::955,has topic,topic::56
paper::955,published in,journal::Jurnal Manajemen Informatika
author::ZBAnb64AAAAJ,writes,paper::956
author::wlGfsB0AAAAJ,writes,paper::956
paper::956,has topic,topic::45
paper::956,published in,journal::Seminar Nasional Riset Terapa
author::ZBAnb64AAAAJ,writes,paper::957
paper::957,has topic,topic::54
paper::957,published in,journal::Jurnal Manajemen Informatika
author::ZBAnb64AAAAJ,writes,paper::958
paper::958,has topic,topic::12
paper::958,published in,journal::Jurnal Manajemen Informatika
author::ZBAnb64AAAAJ,writes,paper::959
author::eEtHoOAAAAAJ,writes,paper::959
paper::959,has topic,topic::57
paper::959,published in,journal::Seminar Nasional Riset Terapa
author::ZBAnb64AAAAJ,writes,paper::960
author::eEtHoOAAAAAJ,writes,paper::960
paper::960,has topic,topic::31
paper::960,published in,journal::Seminar Nasional Riset Terapa
author::ZBAnb64AAAAJ,writes,paper::961
author::pb3-UjwAAAAJ,writes,paper::961
paper::961,has topic,topic::28
paper::961,published in,journal::Jurnal Manajemen Informatika
author::ZBAnb64AAAAJ,writes,paper::962
paper::962,has topic,topic::57
paper::962,published in,journal::Jurnal Manajemen Informatika
author::ZBAnb64AAAAJ,writes,paper::963
author::cPj-iOIAAAAJ,writes,paper::963
paper::963,has topic,topic::28
paper::963,published in,journal::Jurnal Manajemen Informatika
author::ZBAnb64AAAAJ,writes,paper::964
paper::964,has topic,topic::58
paper::964,published in,journal::Institut Teknologi Sepuluh Nopember (ITS)-Surabaya
author::ZBAnb64AAAAJ,writes,paper::965
paper::965,has topic,topic::58
paper::965,published in,journal::SISFO Vol 4 No 5
author::ZBAnb64AAAAJ,writes,paper::966
paper::966,has topic,topic::12
paper::966,published in,journal::STIKOM Surabaya
author::eEtHoOAAAAAJ,writes,paper::967
paper::967,has topic,topic::5
paper::967,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::968
paper::968,has topic,topic::38
paper::968,published in,journal::Application Using the SERVQUAL and EUCS Method
author::eEtHoOAAAAAJ,writes,paper::969
paper::969,has topic,topic::5
paper::969,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::970
paper::970,has topic,topic::55
paper::970,published in,journal::Turnitin
author::eEtHoOAAAAAJ,writes,paper::971
paper::971,has topic,topic::12
paper::971,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::972
paper::972,has topic,topic::5
paper::972,published in,journal::Journal of Emerging Information Systems and Business Intelligence (JEISBI) 4
author::eEtHoOAAAAAJ,writes,paper::973
paper::973,has topic,topic::9
paper::973,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::974
paper::974,has topic,topic::53
paper::974,published in,journal::Journal of Emerging Information System and Business Intelligence (JEISBI) 4
author::eEtHoOAAAAAJ,writes,paper::975
paper::975,has topic,topic::5
paper::975,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::976
paper::976,has topic,topic::35
paper::976,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::977
paper::977,has topic,topic::11
paper::977,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::978
paper::978,has topic,topic::11
paper::978,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::979
paper::979,has topic,topic::5
paper::979,published in,journal::Jeisbi
author::eEtHoOAAAAAJ,writes,paper::980
paper::980,has topic,topic::5
paper::980,published in,journal::JIEET (Journal of Information Engineering and Educational Technology)
author::eEtHoOAAAAAJ,writes,paper::981
paper::981,has topic,topic::37
paper::981,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::982
paper::982,has topic,topic::55
paper::982,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::983
paper::983,has topic,topic::5
paper::983,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::984
paper::984,has topic,topic::53
paper::984,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::985
paper::985,has topic,topic::15
paper::985,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::eEtHoOAAAAAJ,writes,paper::986
paper::986,has topic,topic::15
paper::986,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::eEtHoOAAAAAJ,writes,paper::987
paper::987,has topic,topic::5
paper::987,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::eEtHoOAAAAAJ,writes,paper::988
paper::988,has topic,topic::5
paper::988,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::989
paper::989,has topic,topic::56
paper::989,published in,journal::Jurnal Manajemen Informatika
author::eEtHoOAAAAAJ,writes,paper::990
author::1hm7MM8AAAAJ,writes,paper::990
paper::990,has topic,topic::5
paper::990,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::991
author::4d_6xxEAAAAJ,writes,paper::991
paper::991,has topic,topic::39
paper::991,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::992
paper::992,has topic,topic::5
paper::992,published in,journal::Teknologi: Jurnal Ilmiah Sistem Informasi
author::eEtHoOAAAAAJ,writes,paper::993
paper::993,has topic,topic::54
paper::993,published in,journal::Teknologi: Jurnal Ilmiah Sistem Informasi
author::eEtHoOAAAAAJ,writes,paper::994
paper::994,has topic,topic::9
paper::994,published in,journal::International Joint Conference on Science and Engineering (IJCSE)
author::eEtHoOAAAAAJ,writes,paper::995
paper::995,has topic,topic::5
paper::995,published in,journal::Journal of Emerging Information Systems and Business Intelligence (JEISBI) 1
author::eEtHoOAAAAAJ,writes,paper::996
paper::996,has topic,topic::5
paper::996,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::eEtHoOAAAAAJ,writes,paper::997
paper::997,has topic,topic::58
paper::997,published in,journal::Jurnal Manajemen Informatika
author::eEtHoOAAAAAJ,writes,paper::998
paper::998,has topic,topic::53
paper::998,published in,journal::Jurnal Sistem Informasi dan Bisnis Cerdas
author::eEtHoOAAAAAJ,writes,paper::999
paper::999,has topic,topic::6
paper::999,published in,journal::Jurnal Sistem Informasi dan Bisnis Cerdas
author::eEtHoOAAAAAJ,writes,paper::1000
paper::1000,has topic,topic::45
paper::1000,published in,journal::Jurnal Sistem Informasi dan Bisnis Cerdas
author::eEtHoOAAAAAJ,writes,paper::1001
paper::1001,has topic,topic::53
paper::1001,published in,journal::Infotek: Jurnal Informatika dan Teknologi
author::eEtHoOAAAAAJ,writes,paper::1002
paper::1002,has topic,topic::54
paper::1002,published in,"journal::Journal Information Engineering and Educational Technology), 869X"
author::eEtHoOAAAAAJ,writes,paper::1003
paper::1003,has topic,topic::54
paper::1003,published in,"journal::Fakultas Teknologi Informasi, Institut Teknologi Sepuluh Nopember"
author::4d_6xxEAAAAJ,writes,paper::1004
paper::1004,has topic,topic::5
paper::1004,published in,journal::Journal of Emerging Information Systems and Business Intelligence (JEISBI) 7
author::4d_6xxEAAAAJ,writes,paper::1005
paper::1005,has topic,topic::39
paper::1005,published in,journal::Journal of Emerging Information Systems and Business Intelligence (JEISBI) 7
author::4d_6xxEAAAAJ,writes,paper::1006
paper::1006,has topic,topic::13
paper::1006,published in,journal::Journal of Emerging Information Systems and Business Intelligence (JEISBI) 7
author::4d_6xxEAAAAJ,writes,paper::1007
paper::1007,has topic,topic::54
paper::1007,published in,journal::Journal of Emerging Information Systems and Business Intelligence (JEISBI) 7
author::4d_6xxEAAAAJ,writes,paper::1008
paper::1008,has topic,topic::28
paper::1008,published in,journal::Journal of Education Technology and Information System
author::4d_6xxEAAAAJ,writes,paper::1009
paper::1009,has topic,topic::56
paper::1009,published in,journal::Journal of Education Technology and Information System
author::4d_6xxEAAAAJ,writes,paper::1010
paper::1010,has topic,topic::13
paper::1010,published in,journal::Journal of Education Technology and Information System
author::4d_6xxEAAAAJ,writes,paper::1011
paper::1011,has topic,topic::13
paper::1011,published in,journal::Journal of Education Technology and Information System
author::4d_6xxEAAAAJ,writes,paper::1012
author::2lw6P3IAAAAJ,writes,paper::1012
paper::1012,has topic,topic::53
paper::1012,published in,journal::Jurnal Abdimas Bina Bangsa
author::4d_6xxEAAAAJ,writes,paper::1013
author::psg8hdoAAAAJ,writes,paper::1013
author::Jzuk6doAAAAJ,writes,paper::1013
paper::1013,has topic,topic::57
paper::1013,published in,journal::Abimanyu: Journal of Community Engagement
author::4d_6xxEAAAAJ,writes,paper::1014
paper::1014,has topic,topic::5
paper::1014,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::4d_6xxEAAAAJ,writes,paper::1015
paper::1015,has topic,topic::31
paper::1015,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::4d_6xxEAAAAJ,writes,paper::1016
paper::1016,has topic,topic::12
paper::1016,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::4d_6xxEAAAAJ,writes,paper::1017
paper::1017,has topic,topic::5
paper::1017,published in,journal::Journal of Education Technology and Information System
author::4d_6xxEAAAAJ,writes,paper::1018
paper::1018,has topic,topic::5
paper::1018,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::4d_6xxEAAAAJ,writes,paper::1019
paper::1019,has topic,topic::8
paper::1019,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::4d_6xxEAAAAJ,writes,paper::1020
paper::1020,has topic,topic::13
paper::1020,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::4d_6xxEAAAAJ,writes,paper::1021
paper::1021,has topic,topic::5
paper::1021,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::4d_6xxEAAAAJ,writes,paper::1022
paper::1022,has topic,topic::7
paper::1022,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::4d_6xxEAAAAJ,writes,paper::1023
paper::1023,has topic,topic::5
paper::1023,published in,journal::Journal of Emerging Information System and Business Intelligence (JEISBI) 5
author::4d_6xxEAAAAJ,writes,paper::1024
author::ZBAnb64AAAAJ,writes,paper::1024
paper::1024,has topic,topic::49
paper::1024,published in,journal::IJORER: International Journal of Recent Educational Research
author::4d_6xxEAAAAJ,writes,paper::1025
paper::1025,has topic,topic::7
paper::1025,published in,journal::J. Emerg. Inf. Syst. Bus. Intell
author::4d_6xxEAAAAJ,writes,paper::1026
author::Hl6bqU8AAAAJ,writes,paper::1026
author::_n2j0ZAAAAAJ,writes,paper::1026
author::psg8hdoAAAAJ,writes,paper::1026
paper::1026,has topic,topic::57
paper::1026,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::4d_6xxEAAAAJ,writes,paper::1027
paper::1027,has topic,topic::13
paper::1027,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::4d_6xxEAAAAJ,writes,paper::1028
paper::1028,has topic,topic::38
paper::1028,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::4d_6xxEAAAAJ,writes,paper::1029
paper::1029,has topic,topic::53
paper::1029,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::4d_6xxEAAAAJ,writes,paper::1030
author::Hl6bqU8AAAAJ,writes,paper::1030
author::q24bD6AAAAAJ,writes,paper::1030
paper::1030,has topic,topic::53
paper::1030,published in,journal::Prosiding Seminar Nasional Pengabdian kepada Masyarakat
author::4d_6xxEAAAAJ,writes,paper::1031
paper::1031,has topic,topic::12
paper::1031,published in,journal::International Journal of Electrical & Computer Engineering
author::4d_6xxEAAAAJ,writes,paper::1032
paper::1032,has topic,topic::12
paper::1032,published in,journal::Institut Technology Sepuluh Nopember
author::psg8hdoAAAAJ,writes,paper::1033
paper::1033,has topic,topic::24
paper::1033,published in,journal::Journal of Emerging Information Systems and Business Intelligence (JEISBI) 7
author::psg8hdoAAAAJ,writes,paper::1034
paper::1034,has topic,topic::55
paper::1034,published in,journal::Madaniya
author::psg8hdoAAAAJ,writes,paper::1035
paper::1035,has topic,topic::29
paper::1035,published in,"journal::International Conference on Education and Technology (ICETECH), 3-10"
author::psg8hdoAAAAJ,writes,paper::1036
author::b81qaDkAAAAJ,writes,paper::1036
paper::1036,has topic,topic::26
paper::1036,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::psg8hdoAAAAJ,writes,paper::1037
author::yXy6kW0AAAAJ,writes,paper::1037
paper::1037,has topic,topic::9
paper::1037,published in,journal::Kontribusi: Jurnal Penelitian dan Pengabdian Kepada Masyarakat
author::psg8hdoAAAAJ,writes,paper::1038
paper::1038,has topic,topic::58
paper::1038,published in,journal::Jurnal Medika: Medika
author::psg8hdoAAAAJ,writes,paper::1039
paper::1039,has topic,topic::30
paper::1039,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::psg8hdoAAAAJ,writes,paper::1040
paper::1040,has topic,topic::45
paper::1040,published in,journal::Jurnal Sistem Informasi dan Sains Teknologi
author::psg8hdoAAAAJ,writes,paper::1041
paper::1041,has topic,topic::57
paper::1041,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::psg8hdoAAAAJ,writes,paper::1042
paper::1042,has topic,topic::31
paper::1042,published in,journal::Journal of Informatics Information System Software Engineering and
author::psg8hdoAAAAJ,writes,paper::1043
paper::1043,has topic,topic::18
paper::1043,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::psg8hdoAAAAJ,writes,paper::1044
paper::1044,has topic,topic::57
paper::1044,published in,journal::PT. Sonpedia Publishing Indonesia
author::psg8hdoAAAAJ,writes,paper::1045
paper::1045,has topic,topic::24
paper::1045,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::psg8hdoAAAAJ,writes,paper::1046
paper::1046,has topic,topic::28
paper::1046,published in,journal::PT. Green Pustaka Indonesia
author::psg8hdoAAAAJ,writes,paper::1047
paper::1047,has topic,topic::56
paper::1047,published in,journal::PT. Sonpedia Publishing Indonesia
author::psg8hdoAAAAJ,writes,paper::1048
paper::1048,has topic,topic::24
paper::1048,published in,journal::Jurnal Sistem Informasi dan Bisnis Cerdas
author::psg8hdoAAAAJ,writes,paper::1049
paper::1049,has topic,topic::56
paper::1049,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::psg8hdoAAAAJ,writes,paper::1050
paper::1050,has topic,topic::57
paper::1050,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::psg8hdoAAAAJ,writes,paper::1051
paper::1051,has topic,topic::38
paper::1051,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::psg8hdoAAAAJ,writes,paper::1052
paper::1052,has topic,topic::38
paper::1052,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::psg8hdoAAAAJ,writes,paper::1053
author::nbtuM4IAAAAJ,writes,paper::1053
author::S6IJ51cAAAAJ,writes,paper::1053
paper::1053,has topic,topic::3
paper::1053,published in,journal::Vocational Education International Conference (VEIC-5)
author::psg8hdoAAAAJ,writes,paper::1054
author::TB0QfMoAAAAJ,writes,paper::1054
paper::1054,has topic,topic::12
paper::1054,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::psg8hdoAAAAJ,writes,paper::1055
paper::1055,has topic,topic::38
paper::1055,published in,journal::vol
author::psg8hdoAAAAJ,writes,paper::1056
author::MZCJPuIAAAAJ,writes,paper::1056
paper::1056,has topic,topic::39
paper::1056,published in,journal::Journal of Emerging Information Systems and Business Intelligence
author::psg8hdoAAAAJ,writes,paper::1057
paper::1057,has topic,topic::30
paper::1057,published in,journal::Jurnal Sistem Informasi dan Bisnis Cerdas
author::psg8hdoAAAAJ,writes,paper::1058
paper::1058,has topic,topic::55
paper::1058,published in,journal::Studies in Philosophy of Science and Educatio
author::psg8hdoAAAAJ,writes,paper::1059
paper::1059,has topic,topic::11
paper::1059,published in,journal::Journal of Vocational and Technical Education (JVTE)
author::psg8hdoAAAAJ,writes,paper::1060
author::fkxhjZ4AAAAJ,writes,paper::1060
paper::1060,has topic,topic::44
paper::1060,published in,journal::Jurnal Pengabdian Pada Masyarakat
author::psg8hdoAAAAJ,writes,paper::1061
author::nbtuM4IAAAAJ,writes,paper::1061
paper::1061,has topic,topic::4
paper::1061,published in,journal::Lumbung Inovasi: Jurnal Pengabdian kepada Masyarakat
author::psg8hdoAAAAJ,writes,paper::1062
paper::1062,has topic,topic::29
paper::1062,published in,journal::Institut Teknologi Sepuluh Nopember Surabaya
author::psg8hdoAAAAJ,writes,paper::1063
paper::1063,has topic,topic::24
paper::1063,published in,journal::Jurnal Sistem Informasi Universitas Dinamika (JSIKA)
author::psg8hdoAAAAJ,writes,paper::1064
author::WdhKN0sAAAAJ,writes,paper::1064
paper::1064,has topic,topic::24
paper::1064,published in,journal::Stikom Surabaya
author::_VFGVQQAAAAJ,writes,paper::1065
author::jPKU5cAAAAAJ,writes,paper::1065
author::hrVTt4kAAAAJ,writes,paper::1065
author::nyyfjCgAAAAJ,writes,paper::1065
paper::1065,has topic,topic::9
paper::1065,published in,journal::KERNEL: Jurnal Riset Inovasi Bidang Informatika dan Pendidikan Informatika 6
author::_VFGVQQAAAAJ,writes,paper::1066
author::5nAJx9wAAAAJ,writes,paper::1066
paper::1066,has topic,topic::38
paper::1066,published in,"journal::Journal of Production, Enterprise, and Industrial Applications"
author::_VFGVQQAAAAJ,writes,paper::1067
paper::1067,has topic,topic::24
paper::1067,published in,journal::JIPI (Jurnal Ilmiah Penelitian dan Pembelajaran Informatika)
author::_VFGVQQAAAAJ,writes,paper::1068
paper::1068,has topic,topic::24
paper::1068,published in,journal::JIPI (Jurnal Ilmiah Penelitian dan Pembelajaran Informatika)
author::_VFGVQQAAAAJ,writes,paper::1069
paper::1069,has topic,topic::53
paper::1069,published in,journal::Jurnal Inovasi Hasil Pengabdian Masyarakat (JIPEMAS)
author::_VFGVQQAAAAJ,writes,paper::1070
paper::1070,has topic,topic::24
paper::1070,published in,journal::JIPI (Jurnal Ilmiah Penelitian dan Pembelajaran Informatika)
author::_VFGVQQAAAAJ,writes,paper::1071
paper::1071,has topic,topic::39
paper::1071,published in,journal::Jurnal Teknik Informatika dan Sistem Informasi
author::_VFGVQQAAAAJ,writes,paper::1072
paper::1072,has topic,topic::39
paper::1072,published in,journal::JATISI
author::_VFGVQQAAAAJ,writes,paper::1073
paper::1073,has topic,topic::30
paper::1073,published in,journal::Jurnal Sistem Informasi
author::_VFGVQQAAAAJ,writes,paper::1074
paper::1074,has topic,topic::11
paper::1074,published in,journal::JURTEKSI (Jurnal Teknologi dan Sistem Informasi)
author::_VFGVQQAAAAJ,writes,paper::1075
paper::1075,has topic,topic::39
paper::1075,published in,"journal::International Conference on Applied Science, Technology, and Engineering"
author::_VFGVQQAAAAJ,writes,paper::1076
paper::1076,has topic,topic::39
paper::1076,published in,"journal::International Conference on Applied Science, Technology, and Engineering"
author::_VFGVQQAAAAJ,writes,paper::1077
paper::1077,has topic,topic::56
paper::1077,published in,journal::Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi)
author::_VFGVQQAAAAJ,writes,paper::1078
paper::1078,has topic,topic::56
paper::1078,published in,journal::Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi)
author::_VFGVQQAAAAJ,writes,paper::1079
paper::1079,has topic,topic::13
paper::1079,published in,journal::International Journal of Innovation in Enterprise System
author::_VFGVQQAAAAJ,writes,paper::1080
paper::1080,has topic,topic::56
paper::1080,published in,journal::JSI: Jurnal Sistem Informasi (E-Journal)
author::_VFGVQQAAAAJ,writes,paper::1081
paper::1081,has topic,topic::56
paper::1081,published in,journal::e-Proceeding of Engineering
author::_VFGVQQAAAAJ,writes,paper::1082
paper::1082,has topic,topic::54
paper::1082,published in,journal::Surabaya: Institut Teknologi Sepuluh Nopember
author::_VFGVQQAAAAJ,writes,paper::1083
author::cPj-iOIAAAAJ,writes,paper::1083
paper::1083,has topic,topic::56
paper::1083,published in,journal::INFORMAL: Informatics Journal
author::_VFGVQQAAAAJ,writes,paper::1084
paper::1084,has topic,topic::39
paper::1084,published in,journal::Universitas Brawijaya
