model,mean,std,min,max
ComplEx,0.6332828011149689,0.017362887824470843,0.6177808205780233,0.6600567264902929
RGCN,0.6394102401095407,0.0068457023484141625,0.6305931830407354,0.6495672160007825
RotatE,0.6582913589906597,0.0065134098253527666,0.6503251992762483,0.6655337669323683
VGAE,0.625287300112475,0.0,0.625287300112475,0.625287300112475
