author_id,publication_count,sample_name
-tpBKawAAAAJ,10,Dimas Novian Aditia Syahputra
1xVR-fgAAAAJ,8,Riska Dhenabayu
C_EGqeMAAAAJ,6,Namira Roudlotul Jannah
nVac1BcAAAAJ,6,Rosita
_ecYpyYAAAAJ,6,Dinda Galuh Guminta
Y4YoRwUAAAAJ,6,Belgis Ainatul Iza
pCyzpjgAAAAJ,5,Nurul Laili
iFSMsegAAAAJ,4,Elvira Wardah
Yw9l51IAAAAJ,4,Ersha Aisyah Elfaiz
VNrCn4gAAAAJ,3,Ersha Aisyah Elfaiz
R9rGmc4AAAAJ,1,Kartika Chandra Dewi
ne31is4AAAAJ,1,Danang Ary Dewangga
rnlvOfEAAAAJ,1,Ibrohim
